"","text","created_at","lang"
"97","From #WashTheHate to #RacismIsAVirus to #IAmNotCOVID19, how Asian Americans are using social media to drown out bigotry. https://t.co/BFudxcBONU","2020-04-06T19:11:01.000Z","en"
"98","A string of racist run-ins in the last two weeks has given rise to hashtags — #WashTheHate, #RacismIsAVirus, #IAmNotCOVID19 — and online forums to report incidents https://t.co/liJhxRoVbO","2020-04-06T16:08:56.000Z","en"
"100","Demand that @WHO takes this picture down. How is this helpful against the already rampant Xenophobia? Bad call, #WorldHealthOrganisation #racismisavirus #bias #racism #iamnotcovid19 #notheretobeyourfaceofcoronavirus https://t.co/AuU3a1Uk4O","2020-04-05T23:17:12.000Z","en"
"101","An angry man yelled “Ill put you in the hospital” at me tonight as I walked by. 😰 #Toronto #WashTheHate #RacismIsAVirus #IAmNotCOVID19","2020-04-05T03:25:51.000Z","en"
"102","A string of racist run-ins in the last two weeks has given rise to hashtags — #WashTheHate, #RacismIsAVirus, #IAmNotCOVID19 — and online forums to report incidents.

https://t.co/BTOOVc6OuL","2020-04-05T03:00:00.000Z","en"
"103","#DearMrPresident denounce the racism against Asians and Asian Americans immediately I has a member of the .@GOP feel we need to be united as a country and as a people this is not a time for hate we are all in this together... #TryLove #WashTheHate #RacismIsAVirus #IAmNotCOVID19","2020-04-05T00:11:05.000Z","en"
"104","“[...] there’s urgency to drown out both bigotry and apathy.” @ttangAP is spot on in her article about hate crimes in the US against people of East Asian and SE Asian ethnicity b/c of the #COVID19 crisis. #WashTheHate #RacismIsAVirus #IAmNotCOVID19 https://t.co/pPppjboElE","2020-04-04T20:51:08.000Z","en"
"106","Thank you, @nytimes and @TheRNKyle for spreading the word. 

#RacismIsAVirus #Hateisavirus #WashTheHate #IAmNotCOVID19

https://t.co/oNedWYwDcm","2020-04-04T16:51:33.000Z","en"
"107","Asian Americans use social media to mobilize against attacks | A string of racist run-ins in the last two weeks has given rise to hashtags — #WashTheHate, #RacismIsAVirus, #IAmNotCOVID19 — and online forums to report incidents. https://t.co/Q6BewK8g7x https://t.co/ZWI8GKV1Ug","2020-04-04T16:15:01.000Z","en"
"108","This is the type of things happening in Australia AND globally, and this is the type of reply I get when I try to politely tell people not to use the term ‘Chinese virus’. People really don’t give a fuck about us asians. 
#COVID19au #COVID19 #IAmNotCOVID19 #IamNotAVirus https://t.co/NxBFXZRtxg","2020-03-31T06:04:27.000Z","en"
