"","text","created_at","lang"
"163","@TimetoChange Calling all our Chinese and Asian friends: How is the #coronavirus outbreak and response impacting your mental health? Let us know with the hashtag #NoMoreSufferingInSilence. Your voice matters and it's time to talk. #TimeToTalk #MentaoHealth #mentalhealth #IAmNotAVirus https://t.co/AK5wetRc6i","2020-02-06T17:12:59.000Z","en"
"164","#iamnotavirus  #JeNeSuisPasUnVirus ""don't treat us like we treat people from Wuhan...wait!!!???""

Do not confuse racism with fear and stupidity, we have many words in our languages, let's pick the right ones!#corononavirus","2020-02-06T16:36:42.000Z","en"
"167","Please chime in and/or pass this along https://t.co/WMpcvKzpa7 #HugaChinese #ichbinkeinvirus #IAmNotAVirus #JeNeSuisPasUnVirus","2020-02-06T15:44:10.000Z","en"
"168","Instead of praying for our brothers and sisters in China , we're stigmatizing them 😭😭😭😭😭 May God watch over China and protect it's citizens in this trying times🙏🙏🙏  #coronavirus #IAmNotAVirus","2020-02-06T14:35:42.000Z","en"
"171","https://t.co/GbssAJ3M2z

Well said... 
#corononavirus #H1N1 #FluSeason #standwithchina #SayNoToRacism #iamnotavirus","2020-02-06T12:47:41.000Z","en"
"174","#IAmNotAVirus hits back at racism and xenophobia as paranoia and anti-Chinese sentiment mounts over the #coronavirus outbreak. https://t.co/CuQKvgmAkM","2020-02-06T11:12:00.000Z","en"
"175","It's #TimeToTalk Day today! Too many people with mental health problems are made to feel isolated and ashamed. We want to change the way people think and act about mental health problems. Your voice matters. #IAmNotAVirus https://t.co/yidmVXcFnI","2020-02-06T11:00:35.000Z","en"
"177","Why some say for me, to maintaining gap with me ??

That's I am wrong !!

#IAmNotAVirus
#FlowersOfManchester","2020-02-06T10:08:56.000Z","en"
"178","The latest The Article Writing Man Daily! https://t.co/5fMyhgSRaO Thanks to samuelgkenya @AllianzeBPO1 @Nwamaky @6figureblogger #successsynergyenterprises #iamnotavirus","2020-02-06T09:37:46.000Z","en"
"179","And here’s your history context for Asian racism and the disease trope #ichbinkeinVirus #Iamnotavirus https://t.co/ANFXx3mg42","2020-02-06T08:58:56.000Z","en"
"183","i dont know if you are naturally stupid or  you are just a fucking asshole, but I feel that you should see this simple image 👇👇👇
#prayforchina #IAmNotAVirus #CoronarvirusOutbreak #coronaviruswuhan #coronavirus https://t.co/3tGHgpScSr","2020-02-06T05:38:58.000Z","en"
"186","The latest The Writers Daily! https://t.co/pmJCkqbsaA Thanks to @pandainwords @MercedesSiler @inforcing90_For #writingcommunity #iamnotavirus","2020-02-06T02:18:49.000Z","en"
"192","you are an Asian making fun of this situation that are killing others Asians.  you are supporting stupid jokes and giving a window to racism and xenophobia that ASIANS and not just Chinese 
#IAmNotAVirus https://t.co/8C5pk9LaNC","2020-02-05T22:28:33.000Z","en"
"195","#IAmNotAVirus hits back at racism and xenophobia as paranoia and anti-Chinese sentiment mounts over the #coronavirus outbreak. https://t.co/m6kJLKzKij","2020-02-05T21:00:00.000Z","en"
"196","Portland! If you witness or hear any increased prejudice or bullying during this time, report it to Portland United Against Hate at https://t.co/8YTUDhWFAj.

#Coronavirus
#Coronavirusoutbreak
#IAmNotAVirus
#Jenesuispasunvirus","2020-02-05T19:55:22.000Z","en"
"204","The most funny part is the discrimination is mostly from those so called ""free and democratical"" countries :  free to discriminate?

#Wuhan #StandWithWuhan
#IAmNotAVirus

https://t.co/xKAJhe5Mft","2020-02-05T17:11:49.000Z","en"
"210","To my fellow AsianEuropeans🙌🏽: Tomorrow CCTV9 (Chinese state broadcaster) will do an in-depth interview with me on racism during #coronavirus. Trying to collect your stories&amp;thoughts below that I can pass on. #ichbinkeinVirus #JeNeSuisPasUnVirus #IAmNotAVirus #IoNonSonoUnVirus","2020-02-05T15:18:40.000Z","en"
"211","It's #TimeToTalk Day tomorrow! We will be opening up the discussion around the Coronavirus and its impact on mental health for the Chinese community. Look out for our post tomorrow and please feel encouraged to share your perspective; your voice matters. #IAmNotAVirus https://t.co/VY7NFmaJaD","2020-02-05T15:17:38.000Z","en"
"215","French social media users have hit back at prejudice against Asians because of the fear factor linked to the #coronavirus The hashtag #JeNeSuisPasUnVirus  #IAmNotAVirus Go #Wuhan Go #China 🇨🇳#ThatsEnough 
#OpenYourMind  #OpenYourWorld https://t.co/ssOfMHM6xx","2020-02-05T14:14:08.000Z","en"
"217","Great 🧵here on disinformation, coronavirus and the #IAmNotAVirus movement https://t.co/8zcrGwiLpr","2020-02-05T13:59:45.000Z","en"
