"","text","created_at","lang"
"120","Wash The Hate
#WashTheHate 
#WashTheHate
#WashTheHate 
#WashTheHate 
#WashTheHate 
#WashTheHate 
#WashTheHate 
#WashTheHate 
#WashTheHate 
#WashTheHate 
#WashTheHate 
#WashTheHate 
#WashTheHate 
#WashTheHate 
#WashTheHate 
#WashTheHate 
#WashTheHate 
#WashTheHate 
#WashTheHate","2020-03-21T16:23:43.000Z","en"
"121","Asian Americans join #WashTheHate campaign to raise awareness of discrimination amid coronavirus fears | GMA https://t.co/KQMYUK15Vi","2020-03-21T16:22:24.000Z","en"
"122","@ABC Does #WashTheHate also work for #TrumpDerangementSyndrome? Asking for every liberal in America.","2020-03-21T16:22:03.000Z","en"
"123","Asian Americans join #WashTheHate campaign to raise awareness of discrimination amid coronavirus fears - GMA - via @GMA https://t.co/afbuMqGMBZ","2020-03-21T16:19:57.000Z","en"
"124","#WashTheHate 
Perfect! https://t.co/dwsF1txxlc","2020-03-21T16:19:51.000Z","en"
"125","#Mulan star @tzima8 recalls racist attack and urges others to #WashTheHate. https://t.co/stASaxsyUA https://t.co/oLGYjFIXMX","2020-03-21T15:30:00.000Z","en"
"127","Asian Americans join #WashTheHate campaign to raise awareness of discrimination amid coronavirus fears https://t.co/tCUdY4Z1jT","2020-03-21T15:11:30.000Z","en"
"128","@harikondabolu You probably seen this but FYI: https://t.co/f0vVHkj9go #WashTheHate","2020-03-21T15:11:17.000Z","en"
"129","Asian American Stars Join #WashTheHate Campaign Against Racism https://t.co/99Sgk7rRxI https://t.co/NypLhrfcj8","2020-03-21T14:58:43.000Z","en"
"130","Asian Americans join #WashTheHate campaign to raise awareness of discrimination amid coronavirus ... https://t.co/8fm7zQPCId via @GMA","2020-03-21T14:33:46.000Z","en"
"133","""Mulan"" Star and Other Marvel Actors Join #WashtheHate Campaign Against Racism 

https://t.co/1qzFSlFo3g https://t.co/18EDFBf5C6","2020-03-21T12:55:03.000Z","en"
"134","The @POTUS is committing hate crimes against millions of Americans. I stand in solidarity with Asian folx in the US and across this world. I denounce @realDonaldTrump #COVID19 language. It is violent, evil and false. Follow @WashTheHate and #SpreadLove y’all. 👊🏾♥️🦠#WashTheHate","2020-03-21T12:25:08.000Z","en"
"135","Asian Americans join #WashTheHate campaign to raise awareness of discrimination amid #coronavirus @aaja  ... https://t.co/qpx07VKGi2 via @Yahoo","2020-03-21T12:21:58.000Z","en"
"136","Shit! It was way to cold in the crib so I turned my heater on. #shitjustgotreal #WashTheHate #cold #MYTRUTHDOC #ONchallenge https://t.co/4XWs6pX7Z7","2020-03-21T12:15:12.000Z","en"
"137","People need to retweet, this virus is not Chinese Virus, first cases were reported from China, but we don't know where this virus originated, imagine if the Trump said the African virus, I stand with all Americans, communities we are fighting together ✊🏾✊🏾 #WashTheHate https://t.co/v2XQKwmwKp","2020-03-21T11:56:50.000Z","en"
"139","“Hate will make you sick. Even if the virus doesn’t” #WashTheHate https://t.co/Hrnv2zwssF","2020-03-21T11:34:32.000Z","en"
"141","#WashTheHate 2020 Blue Wave. speak up Democrat’s about this racism! #CoronaRacism @HouseDemocrats @BernieSanders @JoeBiden @SenateDems https://t.co/Gws5i3oara","2020-03-21T10:58:56.000Z","en"
"142","Joining my Asian brothers and sisters in solidarity to @WashTheHate ❤️⁣

https://t.co/J17kH9VN9B…
⁣
#Love #Community #EraseRacism #BeKind #InThisTogether #FlattenTheCurve #Livethroughlove #supporteachother #washyourhands  #AsianPride #Activism #WashTheHate https://t.co/a8hGqQPgVA","2020-03-21T08:32:02.000Z","en"
"143","This is absolutely disgusting! #violence against children?! A harmless and #innocent  #child.  Does anyone know if they are ok and if the cowards who committed this atrocity were arrested? #WashTheHate #AsianAmericans #COVID19 https://t.co/IMgprZed53","2020-03-21T07:54:42.000Z","en"
